severity,source,record_code,issue_type,details
Error,Formulations,760C6031F,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,760C6031F,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,760C6031F,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,760C6031F,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,760C6031F,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,760C6031F,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,760C6011F,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,760C6011F,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,760C6011F,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,760C6011F,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,760C6011F,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,760C6011F,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,750C1011F,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,750C1011F,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,750C1011F,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,750C1011F,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,750C1011F,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,750C1011F,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,750C1011F,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,760C0032,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,760C0032,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,760C0032,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,760C0032,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,760C0032,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,710C3301UVHS,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,710C3301UVHS,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,710C3301UVHS,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,710C3301UVHS,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,710C3301UVHS,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,710C3301UVHS,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,710C3301UVHS,Missing FG Reference,FG code missing in FG inventory
