product_code,revision_code,valid_line_count,total_dosage_percent
711C3004,,0,0.0
711C3031,,0,0.0
711C3051,,0,0.0
711C3081,,0,0.0
711C3081,1,9,100.434
711C3081F,,0,0.0
711C3082,,0,0.0
711C3084,,0,0.0
711C3085,,0,0.0
711C3181,,0,0.0
711C3381,,0,0.0
711C4081,,0,0.0
711D3008,1,6,100.2
712D0001HST,1,1,96.1
712D2088-F4,1,18,100.4471
712D2094-F4,1,13,102.23
712D3006,0,7,99.85
712D3031-4,0,14,200.01
712D3031-6,0,14,200.01
720C0001IM,0,6,99.0
720C0002,,0,0.0
720C0011,,0,0.0
720C0021,,0,0.0
720C0031A,0,3,300.0
720C0031F,,0,0.0
720C0031F1,1,6,100.3
720C0031ST,1,11,200.0
720C0032,,0,0.0
720C0081ST,,0,0.0
720C0082,,0,0.0
720C0084,,0,0.0
720C1001F,1,6,85.0
720C1032,1,4,86.0
720C2012,1,9,100.154
720C2013,1,10,100.181
720C2061F,,0,0.0
720C3002ST,,0,0.0
720C3003F,2,9,99.2
720C3006HS,0,1,53.75
720C3021,0,6,100.1
720C3032,,0,0.0
720C3091HS,0,7,99.9
720C4001,,0,0.0
720D0003HS,1,7,100.3
720D0021F,1,14,199.96
720D1033,1,10,31.2
720D3004F,1,21,300.0
720D3035HS,1,7,105.18
721C0001,2,5,101.0
721C0001UV,,0,0.0
721C1101,,0,0.0
721C3005F,2,7,95.0
721C3031,,0,0.0
721C3081,,0,0.0
721C3082,,0,0.0
721D2001F2UV,0,10,99.8
722D2001F,0,10,99.85
722D2001F,1,10,99.85
730C0001,3,6,96.4
730C0001F,2,6,100.1
730C0031F,2,7,100.1
730C0031F1,1,7,100.05
730C0033,2,5,99.95
730C1001F,2,10,100.2
730C1022,2,7,100.2
730C1031,2,5,99.95
730C1032,2,6,114.2
730C2001F2,2,9,100.2
730C2002,1,6,97.15
730C2002F,2,9,100.05
730C2003F,3,7,100.05
730C2031,2,4,99.95
730C2031F,2,8,100.1
730C2081F,1,1,9.0
730C2083F,1,8,100.2
730C2091,2,9,101.6
730C2091B,2,10,100.2
730C2091C,2,8,100.2009
730C2091F,3,14,100.05
730C2091K,3,10,100.1
730C2091L,4,7,100.2
730C2091LOP,3,10,100.2
730C2092F,3,14,99.95
730C2093,2,8,100.2022
730C2093A,3,8,100.2
730C2093AL,3,8,100.2
730C2093AO,3,12,100.1
730C2093HS,3,6,100.2
730C2093L,4,12,100.1
730C2093LS,3,10,101.0
730C2093OP,3,10,100.2
730C2094F1,3,15,99.95
730C2094F2,1,14,99.9518
730C2095,2,10,129.71
730C2095F,2,9,108.0
730C2391A,3,11,100.1
730C2403,2,6,99.95
730C3001A,4,6,100.2
730C3002F,3,7,96.15
730C3003FIM,2,7,96.25
730C3011,1,9,99.96
730C3011F,2,11,99.95
730C3012F,1,12,99.95004
730C3021F,1,11,99.95004
730C3022F,2,8,99.95
730C3031F,3,7,99.95
730C3032,2,6,99.95
730C3032F,3,9,100.2
730C3041F,2,9,100.05
730C3051,2,7,100.2
730C3061,2,11,200.35
730C3061F,1,2,2.3
730C3061F,2,10,97.90005
730C3081F,1,11,99.95005
730C3082F,1,11,94.85005
730C3083,2,8,100.1
730C3083F,1,11,99.95
730C3084F,1,11,99.95005
730C3085F,1,12,99.95005
730C3086F,4,12,99.95
730C3087F,2,8,100.05
730C3088F,1,13,100.04645
